NvMedio,108,,
,,,
Harmonico,SemiAmp,Fase,Periodo(h)
Sa,3.5,192,8759.04
Ssa,2.4,131,4384.8
Mm,0.7,231,661.3
Mf,2.1,20,327.84
MTM,0,0,10.32
MSf,3.6,211,354.37
Q1,1.7,280,26.87
O1,5.7,306,25.82
M1,0.1,34,24.84
P1,0,265,24.04
K1,3.1,30,23.93
J1,0,0,23.09
OO1,0,0,101.4
MNS2,0,0,13.13
2N2,3.1,70,175.27
MU2,2.4,76,175.73
N2,13.7,97,12.66
NU2,2.8,140,179.15
M2,71.6,107,12.42
L2,1.8,111,12.19
T2,1.3,330,12.02
S2,26.7,119,12
K2,7.4,115,11.97
MO3,0,0,8.39
M3,0.8,280,8.28
MK3,0,0,8.18
MN4,0,0,6.27
M4,0.9,174,6.21
SN4,0,0,1
MS4,1.8,76,6.1
